PID,PID_Sex,PID_Age,Manipulation,combined_info,score,face_id,condition
102,Female,19,Averageness,101_Manipulated,0,101,Manipulated
105,Female,19,Averageness,101_Manipulated,0,101,Manipulated
108,Male,19,Averageness,101_Manipulated,3,101,Manipulated
111,Female,19,Averageness,101_Manipulated,6,101,Manipulated
114,Male,19,Averageness,101_Manipulated,2,101,Manipulated
117,Female,19,Averageness,101_Manipulated,0,101,Manipulated
120,Female,19,Averageness,101_Manipulated,4,101,Manipulated
123,Male,19,Averageness,101_Manipulated,5,101,Manipulated
126,Male,21,Averageness,101_Manipulated,4,101,Manipulated
129,Female,19,Averageness,101_Manipulated,2,101,Manipulated
132,Female,19,Averageness,101_Manipulated,0,101,Manipulated
135,Female,19,Averageness,101_Manipulated,6,101,Manipulated
138,Male,19,Averageness,101_Manipulated,0,101,Manipulated
141,Female,22,Averageness,101_Manipulated,0,101,Manipulated
144,Male,19,Averageness,101_Manipulated,4,101,Manipulated
147,Female,19,Averageness,101_Manipulated,0,101,Manipulated
150,Male,19,Averageness,101_Manipulated,3,101,Manipulated
153,Male,18,Averageness,101_Manipulated,0,101,Manipulated
156,Male,18,Averageness,101_Manipulated,4,101,Manipulated
159,Female,19,Averageness,101_Manipulated,0,101,Manipulated
162,Female,19,Averageness,101_Manipulated,7,101,Manipulated
165,Female,18,Averageness,101_Manipulated,5,101,Manipulated
168,Male,20,Averageness,101_Manipulated,0,101,Manipulated
171,Male,19,Averageness,101_Manipulated,4,101,Manipulated
174,Male,21,Averageness,101_Manipulated,5,101,Manipulated
177,Female,22,Averageness,101_Manipulated,5,101,Manipulated
180,Female,19,Averageness,101_Manipulated,6,101,Manipulated
183,Male,20,Averageness,101_Manipulated,3,101,Manipulated
186,Female,21,Averageness,101_Manipulated,0,101,Manipulated
189,Female,19,Averageness,101_Manipulated,0,101,Manipulated
192,Female,20,Averageness,101_Manipulated,0,101,Manipulated
195,Female,19,Averageness,101_Manipulated,5,101,Manipulated
198,Female,19,Averageness,101_Manipulated,0,101,Manipulated
201,Female,20,Averageness,101_Manipulated,0,101,Manipulated
204,Female,20,Averageness,101_Manipulated,7,101,Manipulated
207,Female,18,Averageness,101_Manipulated,0,101,Manipulated
210,Female,19,Averageness,101_Manipulated,0,101,Manipulated
213,Male,19,Averageness,101_Manipulated,0,101,Manipulated
216,Female,21,Averageness,101_Manipulated,0,101,Manipulated
219,Female,18,Averageness,101_Manipulated,3,101,Manipulated
222,Female,21,Averageness,101_Manipulated,0,101,Manipulated
101,Female,21,Femininity,101_Manipulated,5,101,Manipulated
104,Female,18,Femininity,101_Manipulated,0,101,Manipulated
110,Female,19,Femininity,101_Manipulated,0,101,Manipulated
113,Female,18,Femininity,101_Manipulated,6,101,Manipulated
116,Female,18,Femininity,101_Manipulated,0,101,Manipulated
119,Female,20,Femininity,101_Manipulated,4,101,Manipulated
122,Female,20,Femininity,101_Manipulated,0,101,Manipulated
125,Male,19,Femininity,101_Manipulated,0,101,Manipulated
128,Female,19,Femininity,101_Manipulated,0,101,Manipulated
131,Female,18,Femininity,101_Manipulated,0,101,Manipulated
134,Female,18,Femininity,101_Manipulated,0,101,Manipulated
137,Female,19,Femininity,101_Manipulated,6,101,Manipulated
140,Female,19,Femininity,101_Manipulated,3,101,Manipulated
143,Female,18,Femininity,101_Manipulated,6,101,Manipulated
146,Female,19,Femininity,101_Manipulated,0,101,Manipulated
149,Female,18,Femininity,101_Manipulated,0,101,Manipulated
152,Male,19,Femininity,101_Manipulated,4,101,Manipulated
